PASSENGERS,DISTANCE,UNIQUE_CARRIER,UNIQUE_CARRIER_NAME,CARRIER,ORIGIN_AIRPORT_ID,ORIGIN,DEST_AIRPORT_ID,DEST,YEAR,MONTH
5376.00,1734.00,DL,Delta Air Lines Inc.,DL,11032,CUN,10721,BOS,2023,3
5376.00,1868.00,UA,United Air Lines Inc.,UA,14293,PUJ,12266,IAH,2023,3
5377.00,1404.00,NK,Spirit Air Lines,NK,13218,MDE,11697,FLL,2023,3
5378.00,2685.00,DL,Delta Air Lines Inc.,DL,14747,SEA,11032,CUN,2023,3
5378.00,4263.00,UA,United Air Lines Inc.,UA,12264,IAD,13518,MUC,2023,2
5389.00,1282.00,B6,JetBlue Airways,B6,14838,SJO,13204,MCO,2023,1
5394.00,712.00,UA,United Air Lines Inc.,UA,12266,IAH,16477,QRO,2023,2
5394.00,2090.00,DL,Delta Air Lines Inc.,DL,12478,JFK,13252,MEX,2023,1
5396.00,4160.00,UA,United Air Lines Inc.,UA,13930,ORD,10752,BRU,2023,2
5397.00,2626.00,B6,JetBlue Airways,B6,11697,FLL,12986,LIM,2023,3
5397.00,3736.00,AA,American Airlines Inc.,AA,14100,PHL,10292,AMS,2023,3
5398.00,911.00,AA,American Airlines Inc.,AA,12892,LAX,14832,SJD,2023,3
5402.00,324.00,9E,Endeavor Air Inc.,9E,12953,LGA,16217,YUL,2023,2
5406.00,1505.00,AA,American Airlines Inc.,AA,13303,MIA,15513,UVF,2023,1
5406.00,6603.00,AA,American Airlines Inc.,AA,13303,MIA,15258,TLV,2023,1
5409.00,4263.00,UA,United Air Lines Inc.,UA,13518,MUC,12264,IAD,2023,3
5411.00,1271.00,AA,American Airlines Inc.,AA,13303,MIA,14849,SKB,2023,3
5411.00,2086.00,B6,JetBlue Airways,B6,10575,BGI,12478,JFK,2023,2
5414.00,1681.00,B6,JetBlue Airways,B6,12478,JFK,15084,SXM,2023,3
5414.00,4735.00,DL,Delta Air Lines Inc.,DL,10397,ATL,11915,GIG,2023,1
5415.00,3832.00,AA,American Airlines Inc.,AA,12478,JFK,10517,BCN,2023,2
5415.00,3848.00,UA,United Air Lines Inc.,UA,11618,EWR,10517,BCN,2023,2
5417.00,2970.00,B6,JetBlue Airways,B6,12051,GYE,12478,JFK,2023,3
5419.00,7487.00,UA,United Air Lines Inc.,UA,15092,SYD,12892,LAX,2023,3
5420.00,2009.00,B6,JetBlue Airways,B6,15513,UVF,12478,JFK,2023,1
5421.00,3635.00,AA,American Airlines Inc.,AA,10920,CDG,12478,JFK,2023,2
5421.00,5879.00,UA,United Air Lines Inc.,UA,14771,SFO,13518,MUC,2023,1
5422.00,1189.00,AA,American Airlines Inc.,AA,11298,DFW,10846,BZE,2023,3
5422.00,1404.00,NK,Spirit Air Lines,NK,13218,MDE,11697,FLL,2023,1
5426.00,1303.00,B6,JetBlue Airways,B6,14153,PLS,12478,JFK,2023,1
5428.00,669.00,NK,Spirit Air Lines,NK,10878,CAP,11697,FLL,2023,3
5430.00,2032.00,AA,American Airlines Inc.,AA,11298,DFW,14293,PUJ,2023,3
5431.00,3589.00,DL,Delta Air Lines Inc.,DL,12478,JFK,13156,MAD,2023,2
5432.00,2086.00,B6,JetBlue Airways,B6,10575,BGI,12478,JFK,2023,3
5433.00,911.00,DL,Delta Air Lines Inc.,DL,12892,LAX,14832,SJD,2023,1
5433.00,1721.00,AA,American Airlines Inc.,AA,13180,MBJ,13930,ORD,2023,3
5433.00,7318.00,AA,American Airlines Inc.,AA,11290,DEL,12478,JFK,2023,2
5434.00,4120.00,UA,United Air Lines Inc.,UA,13930,ORD,10292,AMS,2023,3
5435.00,1764.00,DL,Delta Air Lines Inc.,DL,14832,SJD,13487,MSP,2023,1
5438.00,7487.00,UA,United Air Lines Inc.,UA,15092,SYD,12892,LAX,2023,1
5438.00,8587.00,UA,United Air Lines Inc.,UA,15092,SYD,12266,IAH,2023,2
5439.00,3180.00,DL,Delta Air Lines Inc.,DL,12478,JFK,11435,DUB,2023,1
5440.00,4589.00,AA,American Airlines Inc.,AA,10920,CDG,13303,MIA,2023,1
5442.00,2355.00,DL,Delta Air Lines Inc.,DL,15455,UIO,10397,ATL,2023,2
5442.00,5231.00,UA,United Air Lines Inc.,UA,11760,FRA,12266,IAH,2023,2
5443.00,1189.00,AA,American Airlines Inc.,AA,10846,BZE,11298,DFW,2023,1
5443.00,4052.00,UA,United Air Lines Inc.,UA,11618,EWR,13518,MUC,2023,3
5445.00,357.00,YX,Republic Airline,YX,16271,YYZ,12953,LGA,2023,1
5451.00,2626.00,B6,JetBlue Airways,B6,12986,LIM,11697,FLL,2023,1
5452.00,1366.00,DL,Delta Air Lines Inc.,DL,10397,ATL,12010,GUA,2023,3
5454.00,1282.00,NK,Spirit Air Lines,NK,13204,MCO,14838,SJO,2023,2
